label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
T,0.7602195143699646,0.473979651927948,-8.460547462618706e-08,0.6878855228424072,0.49951398372650146,-0.00803287886083126,0.6349862217903137,0.48403698205947876,-0.02896142192184925,0.5989539623260498,0.4675979018211365,-0.05246381834149361,0.5588406324386597,0.4647921919822693,-0.07746578007936478,0.6133471727371216,0.3257364332675934,-0.03540993109345436,0.5466508269309998,0.28425294160842896,-0.07069377601146698,0.49539321660995483,0.2483082115650177,-0.09676217287778854,0.45534202456474304,0.21740485727787018,-0.1178574413061142,0.647121787071228,0.30380675196647644,-0.04970288276672363,0.5795683860778809,0.4043051302433014,-0.08418052643537521,0.6098828911781311,0.4558940529823303,-0.08260975778102875,0.6355622410774231,0.4413718283176422,-0.0795494019985199,0.680808961391449,0.3224770426750183,-0.06618443876504898,0.6235705614089966,0.44120675325393677,-0.08996924757957458,0.6477044820785522,0.4733138978481293,-0.06630294024944305,0.6687328815460205,0.45188480615615845,-0.051005154848098755,0.7108601927757263,0.36478012800216675,-0.08550099283456802,0.6648876667022705,0.46799713373184204,-0.10637989640235901,0.6814509630203247,0.4879235625267029,-0.09569676220417023,0.6985265612602234,0.46276748180389404,-0.08560426533222198
T,0.7199670076370239,0.4202144742012024,-2.8860614520453964e-07,0.6436037421226501,0.4634883403778076,-0.0026125137228518724,0.5777677297592163,0.4644218683242798,-0.02385229803621769,0.5284790992736816,0.46785497665405273,-0.04931668937206268,0.4830544590950012,0.4844433069229126,-0.07673376798629761,0.5282471776008606,0.3023044764995575,-0.03176669031381607,0.44434213638305664,0.31014978885650635,-0.07142040133476257,0.37892603874206543,0.30990710854530334,-0.09856992214918137,0.3272396922111511,0.3081306219100952,-0.11979177594184875,0.559860348701477,0.2712938189506531,-0.05174846202135086,0.49198442697525024,0.4056708514690399,-0.09085358679294586,0.5384235978126526,0.4511791467666626,-0.08788470923900604,0.5687384009361267,0.4307560622692108,-0.08183111250400543,0.600605309009552,0.28367117047309875,-0.0740240141749382,0.5508710741996765,0.4363839626312256,-0.1041363775730133,0.5900081992149353,0.4623040556907654,-0.08026351034641266,0.6134783029556274,0.43165314197540283,-0.06288178265094757,0.6425979137420654,0.3231586813926697,-0.09831749647855759,0.6083494424819946,0.4533117413520813,-0.12394329160451889,0.6356322765350342,0.47194573283195496,-0.11307413876056671,0.6547810435295105,0.4414888024330139,-0.10188857465982437
A,0.2209329605102539,0.8029283285140991,-9.152558959613089e-07,0.29560399055480957,0.7030948996543884,-0.025903720408678055,0.3419579267501831,0.5851829051971436,-0.04490133002400398,0.37037646770477295,0.49583700299263,-0.06324345618486404,0.3853113651275635,0.4137154817581177,-0.0786338746547699,0.24517449736595154,0.5136117935180664,-0.04811625927686691,0.3546115756034851,0.5450165867805481,-0.0833205059170723,0.34946638345718384,0.598851203918457,-0.10457107424736023,0.3149694800376892,0.6100935339927673,-0.12294112145900726,0.1960393637418747,0.5652744770050049,-0.05724475532770157,0.33774736523628235,0.6216931939125061,-0.08457712084054947,0.3261283040046692,0.664173424243927,-0.09355361014604568,0.28610533475875854,0.6600171327590942,-0.10677133500576019,0.1717967838048935,0.6371545791625977,-0.0688260942697525,0.30786222219467163,0.6881946325302124,-0.0893295407295227,0.2942788004875183,0.7245427370071411,-0.07904227077960968,0.25163137912750244,0.7165484428405762,-0.07899248600006104,0.15890958905220032,0.7208586931228638,-0.08565088361501694,0.26647821068763733,0.7584232091903687,-0.1066393181681633,0.26409006118774414,0.778512179851532,-0.10604700446128845,0.23082491755485535,0.771691620349884,-0.10741010308265686
A,0.3430232107639313,0.8156696557998657,-5.979802040201321e-07,0.42737141251564026,0.7322590947151184,-0.03911175951361656,0.4807044267654419,0.6087799668312073,-0.06143605709075928,0.5144674777984619,0.5123008489608765,-0.08031204342842102,0.5380913019180298,0.4157133102416992,-0.09457184374332428,0.39578860998153687,0.5217715501785278,-0.06548771262168884,0.5271235108375549,0.6216193437576294,-0.11793056130409241,0.5046417117118835,0.6732258796691895,-0.1477852165699005,0.459928035736084,0.6543627977371216,-0.16960223019123077,0.3418189287185669,0.584850013256073,-0.07291603088378906,0.500151515007019,0.7006720304489136,-0.12008712440729141,0.47015705704689026,0.7312659025192261,-0.1301117241382599,0.4260680079460144,0.703789472579956,-0.14059653878211975,0.3069286346435547,0.6735562086105347,-0.08564188331365585,0.4513499140739441,0.7762940526008606,-0.12658676505088806,0.42793703079223633,0.7930790185928345,-0.11452464759349823,0.38817042112350464,0.7621629238128662,-0.10702626407146454,0.28132203221321106,0.7693518400192261,-0.10398116707801819,0.3899480402469635,0.8405687808990479,-0.13867108523845673,0.3838598430156708,0.8404411673545837,-0.13970065116882324,0.3526672422885895,0.8158357739448547,-0.138299822807312
J,0.26799920201301575,0.6428033709526062,2.1591232268747262e-07,0.3045061528682709,0.5488225221633911,0.0003150375559926033,0.3579508662223816,0.4588867723941803,-0.031215596944093704,0.3896530866622925,0.3727847933769226,-0.06291825324296951,0.4024580717086792,0.2895340919494629,-0.09590944647789001,0.38827505707740784,0.4659014046192169,-0.09714412689208984,0.4970274567604065,0.45166948437690735,-0.14627490937709808,0.561535656452179,0.4491731524467468,-0.17160741984844208,0.610581636428833,0.4489642381668091,-0.18583174049854279,0.3777913451194763,0.5146852731704712,-0.11258313059806824,0.5026240944862366,0.581907331943512,-0.15300850570201874,0.4681718945503235,0.6090156435966492,-0.14038971066474915,0.42529916763305664,0.5955937504768372,-0.12865649163722992,0.369723379611969,0.5789888501167297,-0.12429250776767731,0.48168474435806274,0.648522138595581,-0.15313100814819336,0.4474082291126251,0.6637632846832275,-0.12558342516422272,0.4050329327583313,0.6458481550216675,-0.10551983118057251,0.36588603258132935,0.6470427513122559,-0.13442206382751465,0.44286873936653137,0.6995238065719604,-0.14884696900844574,0.4189242124557495,0.7064774036407471,-0.12933531403541565,0.38697725534439087,0.6865978240966797,-0.11472565680742264
F,0.39269936084747314,0.26016557216644287,1.117801616601355e-06,0.4598594903945923,0.2893447279930115,-0.011233280412852764,0.5122873783111572,0.3683357536792755,-0.042268089950084686,0.5275906920433044,0.45962226390838623,-0.07014816999435425,0.5353225469589233,0.5369977951049805,-0.09967030584812164,0.5534660220146179,0.3566831946372986,-0.10682888329029083,0.5808311700820923,0.4767695665359497,-0.15635427832603455,0.59700608253479,0.5629563331604004,-0.18378926813602448,0.6068731546401978,0.6291718482971191,-0.19950464367866516,0.5103312730789185,0.33647820353507996,-0.12488510459661484,0.5422642230987549,0.48857036232948303,-0.17882877588272095,0.5508242845535278,0.5866284966468811,-0.19519299268722534,0.5538323521614075,0.6569578051567078,-0.20289835333824158,0.452690988779068,0.33491596579551697,-0.13811340928077698,0.4557923376560211,0.5055637359619141,-0.17774933576583862,0.4518611431121826,0.5751588344573975,-0.17154332995414734,0.4520154893398285,0.6121065616607666,-0.16280250251293182,0.39219358563423157,0.3407280743122101,-0.15093399584293365,0.39352744817733765,0.4713691174983978,-0.1696801781654358,0.39473462104797363,0.5114736557006836,-0.1566053181886673,0.3976590633392334,0.527904212474823,-0.14455342292785645
L,0.772696852684021,0.7443280816078186,5.6258929959085435e-08,0.7044895887374878,0.7161275148391724,-0.020345669239759445,0.6335587501525879,0.6626080274581909,-0.032205626368522644,0.5791121125221252,0.6380088329315186,-0.04776667430996895,0.5311068892478943,0.6324374675750732,-0.06411455571651459,0.6645275354385376,0.5284329652786255,-0.0026445104740560055,0.6387252807617188,0.43997785449028015,-0.027756251394748688,0.6178093552589417,0.3747997581958771,-0.046666841953992844,0.6053716540336609,0.322504460811615,-0.06040293350815773,0.7130829691886902,0.5134977698326111,-0.01308100949972868,0.6979286670684814,0.43583375215530396,-0.05935545638203621,0.703066885471344,0.5241819024085999,-0.07037445157766342,0.7148926258087158,0.582160234451294,-0.06409210711717606,0.7639562487602234,0.516281008720398,-0.028170164674520493,0.7506610155105591,0.44789278507232666,-0.06977766752243042,0.7496621608734131,0.5360292196273804,-0.05576084554195404,0.7525903582572937,0.5863039493560791,-0.033339254558086395,0.8141582012176514,0.5367686152458191,-0.045490484684705734,0.8011929988861084,0.46658599376678467,-0.06762154400348663,0.7927454113960266,0.5257556438446045,-0.050688184797763824,0.7894205451011658,0.5676669478416443,-0.03156173229217529
T,0.7543991208076477,0.481739342212677,-2.8891062697766756e-07,0.6740328073501587,0.5088218450546265,-0.014289885759353638,0.6158425211906433,0.5117046236991882,-0.039100825786590576,0.5767020583152771,0.5229052305221558,-0.06497166305780411,0.5399251580238342,0.547296404838562,-0.09138700366020203,0.5750718116760254,0.36207741498947144,-0.04324837774038315,0.49084290862083435,0.3650452792644501,-0.08360327780246735,0.42938435077667236,0.35479670763015747,-0.11279954016208649,0.3802953362464905,0.34477904438972473,-0.13551776111125946,0.6089995503425598,0.3315450847148895,-0.05620719864964485,0.5545321702957153,0.4632328450679779,-0.09214013069868088,0.5943776965141296,0.5088855028152466,-0.09182269871234894,0.6196310520172119,0.4891767203807831,-0.08972612023353577,0.6511433124542236,0.34404268860816956,-0.07202181965112686,0.6066312789916992,0.4921673834323883,-0.09776531904935837,0.638299822807312,0.5180976390838623,-0.07654350996017456,0.6565768122673035,0.4892779588699341,-0.0629957839846611,0.6934580206871033,0.3794320821762085,-0.09111011773347855,0.6569011211395264,0.5035795569419861,-0.11301080882549286,0.6780693531036377,0.5222039222717285,-0.10105273127555847,0.6932386159896851,0.4938071370124817,-0.08991938084363937
M,0.6989057660102844,0.5849782824516296,5.503691227204399e-07,0.7124415636062622,0.47547096014022827,-0.019067609682679176,0.698867917060852,0.3668397068977356,-0.04137326404452324,0.6852839589118958,0.2635931372642517,-0.061790235340595245,0.6741875410079956,0.1772650182247162,-0.08533082902431488,0.6069086194038391,0.3529070019721985,-0.04142118617892265,0.4998670220375061,0.29782986640930176,-0.06574991345405579,0.42892318964004517,0.2707703113555908,-0.08331065624952316,0.37377530336380005,0.25316980481147766,-0.09485756605863571,0.5781715512275696,0.4082559645175934,-0.04744386300444603,0.4535747170448303,0.35036391019821167,-0.0684158131480217,0.37728020548820496,0.3176109790802002,-0.08483480662107468,0.3247227966785431,0.2926310896873474,-0.0963970273733139,0.553274393081665,0.4757022261619568,-0.05354618653655052,0.4425221383571625,0.4097074568271637,-0.07207192480564117,0.3742929697036743,0.3733856678009033,-0.08047011494636536,0.32690244913101196,0.34321272373199463,-0.0856776237487793,0.5343299508094788,0.5469759702682495,-0.06003784015774727,0.4490455389022827,0.48815494775772095,-0.07622301578521729,0.3999861478805542,0.4549124538898468,-0.07768337428569794,0.3588816225528717,0.42065221071243286,-0.07604454457759857
T,0.744174599647522,0.542826771736145,-1.4437067363815004e-07,0.6835224032402039,0.5474897623062134,-0.013068916276097298,0.6351243853569031,0.5201839804649353,-0.032903049141168594,0.6029056310653687,0.4965185225009918,-0.05460824444890022,0.5686583518981934,0.47513943910598755,-0.07727254182100296,0.6366663575172424,0.3626018166542053,-0.03583792597055435,0.5757162570953369,0.3058226406574249,-0.07054314762353897,0.5292648077011108,0.2623160779476166,-0.09485199302434921,0.4929579198360443,0.22544154524803162,-0.11417607218027115,0.6754904985427856,0.3427917957305908,-0.04859218746423721,0.6015886068344116,0.4209746718406677,-0.0879569873213768,0.6241652369499207,0.48253488540649414,-0.08916522562503815,0.6523324251174927,0.48485317826271057,-0.08491337299346924,0.7112967371940613,0.3626413345336914,-0.06384945660829544,0.6450010538101196,0.4654209613800049,-0.0951414555311203,0.6647370457649231,0.5095613598823547,-0.07384756207466125,0.6890118718147278,0.49986231327056885,-0.05621792748570442,0.7416064143180847,0.40628325939178467,-0.08189726620912552,0.6881427764892578,0.49377650022506714,-0.1082100048661232,0.7012752890586853,0.5241057872772217,-0.09740476310253143,0.722050666809082,0.5102229118347168,-0.08462836593389511
